ID,Title,Description,Public Disclosure Availability Date
478930,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Classification improvements on file read access in macOS devices using Endpoint Data Loss Prevention,Data classification on files in macOS devices will be triggered when handing files on read access to improve classification operations. ,March CY2025
477367,Microsoft Purview compliance portal: eDiscovery - Hold limits increased per hold policy for eDiscovery Premium,"The Purview eDiscovery team has increased the limits for Hold policies for eDiscovery Premium in the new purview.microsoft.com portal. 

The maximum number of mailboxes in a single case hold has been increased from 1,000 to 2,000. This limit includes the combined total of user mailboxes and the mailboxes associated with Microsoft 365 Groups, Microsoft Teams, and Viva Engage Groups.

The maximum number of sites in a single case hold has been increased from 100 to 2,000. This limit includes the combined total of OneDrive for Business sites, SharePoint sites, and the sites associated with Microsoft 365 Groups, Microsoft Teams, and Viva Engage Groups. 

Overall, the maximum allowed locations in a premium case hold policy in a premium case is 4,000 (2,000 each). This is possible through the new user interface in Purview portal and not through the Classic eDiscovery experience. Additionally, this is not currently possible with Graph. The maximum hold limits for a standard case remain the same as earlier: 1,000 mailboxes and 100 sites. All other settings for eDiscovery hold continue as is. 

Lastly, in case of license downgrade, the system won't remove any existing holds and won't allow adding more, such as for a policy with a higher number of locations in it (e.g. 1500 Mailbox and 1500 Sites), and if the case setting is downgraded to E3, you will not be able to add more locations in it based on E3 limits, but you will be able to remove locations from it.",March CY2025
472031,Microsoft Purview compliance portal: Data Loss Prevention - Gain DLP policy insights with Copilot,"Copilot for Security in DLP can summarize DLP policies. This enhancement enables DLP admins to gain insights on coverage of policies viz. location, classifiers and notifications, and more. 
 
DLP admins can get these insights on all the policies or on few selected policies. They will be able to use prompts to gain deeper level view of how a policy is configured for their digital landscape. This helps them align their data posture on a regular basis and make corrections to policy posture as needed.",March CY2025
407864,Microsoft Purview compliance portal: Insider Risk Management - Enhanced alert and user investigation using Copilot for Security in Insider Risk Management,"When investigating alerts within Microsoft Purview Insider Risk Management, you can now harness the power of Microsoft Copilot for Security. This tool not only provides concise alert summaries, but it also allows you to delve into specific user activities. By doing so, you can promptly assess whether the user associated with the alert warrants further investigation or if the alert can be safely dismissed. Additionally, with just a click, you can obtain a succinct summary of the user’s risk profile, highlighting crucial details and top risk factors. Leveraging Copilot for Security streamlines investigations, ultimately reducing the triage workload and enabling faster decision making.",March CY2025
392838,Microsoft Purview compliance portal: Data Lifecycle Management - Introduction of secure workflow to bypass legal holds and retention policies,"The first release of Priority cleanup enables admins to create a recurring exception to delete items under a broader retention policy and/or legal hold on Exchange workload. Creating a Priority cleanup will require a separate security role, multiple approvers, and will have a complete audit trail.",March CY2025
472030,Microsoft Purview compliance portal: Data Lifecycle Management - Retention based on Last Accessed for files in OneDrive and SharePoint,This creates the ability to apply Retention to each SharePoint or OneDrive item based on when it was last accessed by a user.,March CY2025
420941,Microsoft Purview compliance portal: Insider Risk Management - Data Security Analytics ,"Data Security analytics will serve as a launchpad for administrators, enabling them to swiftly navigate day-to-day tasks. It will provide a comprehensive overview of an organization’s sensitive data landscape, visibility into potential risks, and offer contextual recommendations to strengthen the organization's data security posture. The Data Security Copilot will serve as an intelligent AI assistant layered on top of data security analytics, supporting tasks related to administration, risk assessment, alert triage, and reporting. 

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",March CY2025
420938,Microsoft Purview compliance portal: Insider Risk Management - Entra compromised user signals in IRM,"With this feature, IRM analysts can identify if the user being investigated has any compromised user alerts in Microsoft Entra. This will help them formulate the right response action, like escalating the Incident to SOC teams for quick remediation, etc. 

Microsoft Entra offers two types of compromised user detections.
1. Sign in risk detections: compromise risk associated with a specific sign-in.
2. User risk detections: compromise risk associated with a specific user.

Insider risk management admins can opt into each of the above risk detections from Insider risk management global settings. Risk detections will be available in the indicator timeline within the alert investigation experience. Risk detections will not impact the risk score or severity of Insider risk management alerts.

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.  ",March CY2025
469509,Microsoft Purview compliance portal: Data Security Posture Management for AI,"Microsoft Purview AI Hub is released to general availability. Along with this release, the name has been rebranded to Microsoft Purview Data Security Posture Management for AI (DSPM for AI) and capabilities have been added that include supporting admin units, displaying AI policies that were created in Purview solutions, and supporting additional AI apps. A version of DSPM for AI is also available to additional licensing, specifically Microsoft 365 E3 and Microsoft 365 Copilot licenses. 

The AI hub in Microsoft Purview is a centralized location to gain insights into generative AI activity, including the sensitive data flowing in AI prompts, both for Microsoft Copilot for Microsoft 365 and non-Microsoft AI applications.",March CY2025
429872,Microsoft Purview compliance portal: Communication Compliance - Notify users about hidden content matches in Communication Compliance,"This feature is designed to enhance transparency by introducing a notification banner that alerts users when keywords embedded in hidden content, such as hyperlinks or encoded strings, trigger a compliance policy match. With this update, investigators will be able to quickly recognize that some or all keyword matches are not immediately visible in the main content body, saving time and ensuring a more efficient triage experience.",March CY2025
468888,Microsoft Purview compliance portal: Apply sensitivity labels with user-defined permissions in Office for the web in Microsoft 365,Office for the web in Microsoft 365 supports the application of sensitivity labels with user-defined permissions.,March CY2025
422334,Microsoft Purview compliance portal: Communication Compliance - Detect prompt injection attacks and mentions of protected materials in GenAI prompts and responses,"In Communication Compliance, we're introducing the ability to detect potentially risky Generative AI interactions using Azure Content Safety's Prompt shields and Protected materials classifiers. Detect risk of jailbreak prompt exploitation by malicious users and identify if GenAI responses contain branded/copyrighted material so organizations can maintain content originality and protect their reputations.

Microsoft Purview Communication Compliance provides the tools to help organizations detect regulatory compliance violations (e.g. SEC or FINRA), such as sensitive or confidential information, harassing or threatening language, and sharing of adult content. Built with privacy by design, usernames are pseudonymized by default, role-based access controls are built in, investigators are opted in by an admin, and audit logs are in place to help ensure user-level privacy.",March CY2025
382130,Microsoft Purview compliance portal: Insider Risk Management - Granular trigger throttling,"With this update, we are introducing more granular trigger throttling limits to isolate the impact of a surge in noisy trigger volumes and prevent other policies from being affected. This ensures that organizations can receive critical alerts without being throttled by these limits. By default, the throttling limits will be applied as follows: All sensitive triggers, including HR signals, Azure AD leavers, and custom triggers, will be limited to 15,000 per day per trigger. All other triggers will be limited to 5,000 per day per trigger. Additionally, the policy health warning messages will be enhanced to assist admins with appropriate permissions in identifying and addressing noisy triggers effectively. Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",March CY2025
415170,Microsoft Purview compliance portal: Communication Compliance - Enrich triage in Communication Compliance with Insider Risk context,"Enhance the triage experience in communication compliance with Insider Risk Insights. This integration provides investigators with a deeper understanding of the risk profile of message senders, along with a more comprehensive view of the sender’s risk severity and historical risk-related actions. With this enriched context, investigators are empowered to make more informed and effective remediation decisions, ensuring a robust compliance posture.",March CY2025
467254,Microsoft Purview compliance portal: Information Protection - SharePoint Online extends library permissions to downloaded files.,"This new capability ties together SharePoint Online library permissions with Purview sensitivity labeling and protection. SharePoint Online document library owners can set a label on the library, automatically applying that label to all unprotected and unlabeled Word, Excel, PowerPoint, and PDF files at rest in the target library. This simplifies labeling in bulk across document libraries in an organization. This capability also helps protect files as they egress from the original document library, such as for collaboration purposes or attempted exfiltration. Files downloaded from these libraries are protected at download. Users accessing these files outside of SharePoint Online have their rights evaluated in real time against the online copy of the document. Changes to user permissions on the online copy of the document are reflected on downloaded copy, including full access removal. This provides a more streamlined way to revoke access to documents for individual users, versus revoking access on a per-document basis.",March CY2025
466742,Microsoft Purview compliance portal: Insider Risk Management - Downgrade/remove sensitivity label,"This feature is an enhancement to the existing IRM Office Indicator - Downgrading sensitivity labels applied to SharePoint files and removing sensitivity labels from SharePoint files.

In the current version, only sensitivity label changes on SharePoint Web app are captured in IRM. But with the latest update, this indicator captures the sensitivity label changes (downgrade/remove) when performed on OneDrive, AIP, and Endpoint (SharePoint file opened in Office app or any sensitivity label change on the local files on your device).

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",March CY2025
374375,Microsoft Purview compliance portal: Information Protection - Save filters for Activity Explorer,Ability to save the filters applied to Activity Explorer and use them later.,March CY2025
68688,Microsoft Purview compliance portal: Communication Compliance - Ability to set a retention period for a policy,"<div>Introducing the ability to define how long content captured by a Communication Compliance policy is retained. Microsoft Purview Communication Compliance provides the tools to help organizations detect regulatory compliance violations (e.g. SEC or FINRA), such as sensitive or confidential information, harassing or threatening language, and sharing of adult content. Built with privacy by design, usernames are pseudonymized by default, role-based access controls are built in, investigators are opted in by an admin, and audit logs are in place to help ensure user-level privacy. </div>",March CY2025
422503,Microsoft Purview compliance portal: Insider Risk Management - Administrative units support,"Administrative units allow admins with appropriate permissions to subdivide the organization into smaller units, and then assign specific admins or role groups that can manage only the members of those units. For example, German administrators can only create/manage policies for only German users, and German investigators can only investigate alerts and activities from only German users.

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",March CY2025
407897,Microsoft Purview compliance portal: Data Lifecycle Management - Separation of the Copilot for Microsoft 365 retention policy location from Microsoft Teams chats,"Today, admins must manage retention and deletion for Copilot for Microsoft 365 interactions using a retention policy location that also includes Microsoft Teams chats. This feature will provide a new location option to manage only Copilot interactions, separate from Microsoft Teams chats.",March CY2025
384871,Microsoft Purview compliance portal: eDiscovery - Review set query report,"Within a review set, generate and download a hit-by-term report on a KQL query. Quickly see the count and volume of the items hit on a particular keyword or a list of compound queries.",March CY2025
416481,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Enhanced content extraction and file type coverage for DLP on Windows devices,"With this release, the file type coverage to scan, classify and protect sensitive content on windows endpoint devices with Microsoft Purview Data Loss Prevention policies will increase from current ~40 file types to 100+ file types. This release will make the coverage of file types on endpoint consistent with other locations such as Exchange, SharePoint and OneDrive. This will also include other enhancements like detecting label from pfile, detecting sensitive content in metadata, and detecting sensitive content in PDF forms.",March CY2025
402516,Microsoft Purview compliance portal: Information Barriers v2 support for all new onboarding customers,"Microsoft Purview Information Barriers v2 (IB v2) is now available for all new onboarding customers. IB v2 has enhanced architecture which enables the following new features:

Large-scale segment support: The segment limit in organizations has increased to 5,000.
Multi-segment support: Users can be assigned to up to 10 segments.
Flexible user discoverability: Organizations can now choose to allow IB-protected users to discover each other while adhering to IB communication and collaboration policies.",March CY2025
396575,Microsoft Purview compliance portal: Data Loss Prevention - Decoupling of Policy tips and Email notifications while configuring rules on Data Loss Prevention for Sharepoint and Onedriv,"As of today, whenever the user wants to enable email notifications the policy tips also need to be enabled and vice versa, but with this decoupling the admin can configure the following: 1) None of policy tips or email notification 2) Only policy tips 3) Only Email Notifications 4) Both Email Notifications and Policy tips",March CY2025
380721,Microsoft Purview compliance portal: Data Loss Prevention - Trigger Power automate workflows as outcome of DLP rule match,This introduces a new DLP rule action to trigger custom Power automate workflows when a DLP rule is violated.,March CY2025
156014,Microsoft Purview compliance portal: Sensitivity analysis for policy tuning,"<div>With this update, admins with appropriate permissions will have the ability to view a sensitivity analysis, which shows the  count of users in the organization that would meet specific indicator thresholds. The sensitivity analysis is presented as a bar chart, with potential inputs of an indicator threshold on the x-axis and the corresponding count of users on the y-axis. Admins can utilize this chart to make informed decisions on which threshold to apply for each indicator. Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy. </div>",March CY2025
369015,Microsoft Purview compliance portal: Data Loss Prevention- Adding matched attachment details in Activity Explorer for Data Loss Prevention rules in Exchange,"With this feature, the admins can see more information like name, size, labels about the attachments present in the email that violated the Data Loss Prevention rules. Note: The month and status have been updated to reflect the current state.  We apologize for any inconvenience this may cause.",March CY2025
165707,Microsoft Purview compliance portal: Information Protection - Optical character recognition (OCR) support for Exchange Online and Teams,"<div>Optical character recognition (OCR) support will detect sensitive content in images and subsequently apply data loss prevention (DLP) policies to prevent exfiltration of that sensitive data in Exchange Online and Microsoft Teams. This release supports key file types like JPG, JPEG, PNG, TIFF, BMP and PDF (image only PDF). </div><div> </div>",March CY2025
160010,Microsoft Purview compliance portal: Optical character recognition (OCR) support for SharePoint Online and OneDrive for Business ,"Optical character recognition (OCR) support will detect sensitive content in images and subsequently apply data loss prevention (DLP) policies to prevent exfiltration of that sensitive data in SharePoint Online and OneDrive. This release supports key file types like JPG, JPEG, PNG, TIFF, BMP, and PDF (image-only PDF).
",March CY2025
117569,Microsoft Purview compliance portal: eDiscovery (Premium) - CMK (Customer Managed Keys) encryption support for data at-rest in Review sets,"This release of eDiscovery features the implementation of customer-managed key (CMK) options, allowing users to manage their own encryption keys for the data stored in eDiscovery review sets in addition to the default, strong Microsoft-managed encryption already in place.",March CY2025
